Date,Egg Price,Revenue,,
03/31/23,337.50,688.68,,
12/30/22,529.50,997.49,,
09/30/22,360.50,801.70,,
06/30/22,251.50,658.34,,
03/31/22,246.50,592.96,,
12/31/21,159.50,477.49,,
09/30/21,106.50,381.72,,
06/30/21,74.50,324.99,,
03/31/21,123.50,349.80,,
12/31/20,76.50,359.08,,
09/30/20,85.50,347.33,,
06/30/20,70.50,292.78,,
03/31/20,292.50,453.33,,
12/31/19,83.50,345.59,,
09/30/19,58.50,311.52,,
06/28/19,67.50,241.17,,
03/29/19,82.50,280.57,,
12/31/18,122.50,383.99,,
09/28/18,92.50,356.04,,
06/29/18,110.50,340.58,,
03/29/18,265.50,443.10,,
12/29/17,154.50,435.82,,
09/29/17,122.50,361.17,,
06/30/17,63.50,262.85,,
03/31/17,80.50,274.58,,
12/30/16,132.50,306.54,,
09/30/16,54.50,253.54,,
06/30/16,67.50,239.85,,
03/31/16,86.50,303.02,,
12/31/15,108.50,449.76,,
09/30/15,201.50,545.98,,
06/30/15,184.50,609.90,,
03/31/15,168.50,403.01,,
12/31/14,132.50,437.56,,
09/30/14,114.50,378.62,,
06/30/14,101.50,356.94,,
03/31/14,162.50,371.58,,
12/31/13,128.50,395.52,,
09/30/13,106.50,354.28,,
06/28/13,92.50,319.53,,
03/28/13,133.50,325.93,,
12/31/12,109.50,360.37,,
09/28/12,138.50,328.87,,
06/29/12,92.50,272.93,,
03/30/12,116.50,275.25,,
12/30/11,148.50,303.66,,
09/30/11,106.50,290.37,,
06/30/11,92.50,243.84,,
03/31/11,99.50,242.38,,
12/31/10,122.50,274.67,,
09/30/10,56.50,234.52,,
06/30/10,59.50,190.40,,
03/31/10,125.50,222.09,,
12/31/09,104.50,271.16,,
09/30/09,82.50,229.23,,
06/30/09,56.50,187.67,,
03/31/09,99.50,213.60,,
12/31/08,115.50,270.01,,
09/30/08,97.50,238.31,,
06/30/08,117.50,206.89,,
03/31/08,144.50,235.63,,
12/31/07,148.50,278.02,,
09/28/07,117.50,223.70,,
06/29/07,78.50,178.60,,
03/30/07,89.50,169.87,,
12/29/06,70.50,175.21,,
09/29/06,53.50,137.74,,
06/30/06,41.50,115.31,,
03/31/06,69.50,129.40,,
12/30/05,80.50,130.11,,
09/30/05,59.00,138.29,,
06/30/05,50.00,79.76,,
03/31/05,42.00,81.48,,
12/31/04,58.50,101.04,,
09/30/04,63.00,90.73,,
06/30/04,70.00,102.02,,
03/31/04,123.00,142.35,,
12/31/03,93.50,165.66,,
09/30/03,89.50,149.95,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
